name,owner,url,stars,forks,description,topics,language,created_at,updated_at,has_training,training_files_sample,has_testing,testing_files_sample,open_issues,license
manga-image-translator,zyddnys,https://github.com/zyddnys/manga-image-translator,9000,883,Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/ (no longer working),"['anime', 'auto-translation', 'chinese-translation', 'deep-learning', 'image-processing', 'inpainting', 'japanese-translations', 'machine-translation', 'manga', 'neural-network', 'ocr', 'pytorch-implementation', 'text-detection', 'text-detection-recognition', 'transformer']",Python,2021-02-18T03:03:23Z,2025-12-10T03:29:23Z,True,"['training/all-fonts.txt', 'training/inpainting/readme.md', 'training/ocr/readme.md', 'training/ocr/custom_ctc.cc', 'training/ocr/custom_ctc.py']",True,"['pytest.ini', 'test/readme.md', 'test/api_test.html', 'test/conftest.py', 'test/test_render.py']",235,GNU General Public License v3.0
trax,google,https://github.com/google/trax,8294,827,Trax — Deep Learning with Clear Code and Speed,"['deep-learning', 'deep-reinforcement-learning', 'jax', 'machine-learning', 'numpy', 'reinforcement-learning', 'transformer']",Python,2019-10-05T15:09:14Z,2025-12-08T16:44:36Z,True,"['trax/data/testdata/c4/en/2.3.0/c4-train.tfrecord-00000-of-00001', 'trax/data/testdata/para_crawl/ende/1.2.0/para_crawl-train.tfrecord-00000-of-00001', 'trax/data/testdata/squad/v1.1/3.0.0/squad-train.tfrecord-00000-of-00001', 'trax/models/reformer/testdata/translate_ende_wmt32k-train-00000-of-00001', 'trax/models/research/testdata/translate_ende_wmt32k-train-00000-of-00001']",True,"['oss_scripts/oss_tests.sh', 'trax/data/inputs_test.py', 'trax/data/testdata/bert_uncased_vocab.txt', 'trax/data/testdata/c4/en/2.3.0/c4-train.tfrecord-00000-of-00001', 'trax/data/testdata/c4/en/2.3.0/c4-validation.tfrecord-00000-of-00001']",125,Apache License 2.0
jukebox,openai,https://github.com/openai/jukebox,8034,1456,"Code for the paper ""Jukebox: A Generative Model for Music""","['audio', 'generative-model', 'music', 'paper', 'pytorch', 'transformer', 'vq-vae']",Python,2020-04-29T17:16:12Z,2025-12-09T13:37:44Z,True,"['jukebox/train.py', 'jukebox/train.py', 'tensorboardx/examples/chainer/extension_logger/train_dcgan.py', 'tensorboardx/examples/chainer/extension_logger/train_dcgan.py', 'tensorboardx/examples/chainer/plain_logger/train_vae.py']",True,"['apex/tests/l0/run_amp/__init__.py', 'apex/tests/l0/run_amp/test_add_param_group.py', 'apex/tests/l0/run_amp/test_basic_casts.py', 'apex/tests/l0/run_amp/test_cache.py', 'apex/tests/l0/run_amp/test_multi_tensor_axpby.py']",207,Other
GPT2-Chinese,Morizeyao,https://github.com/Morizeyao/GPT2-Chinese,7601,1699,"Chinese version of GPT2 training code, using BERT tokenizer.","['chinese', 'gpt-2', 'nlp', 'text-generation', 'transformer']",Python,2019-05-31T02:07:50Z,2025-12-09T14:23:50Z,True,"['scripts/train.sh', 'train.py', 'train.py', 'train.sh']",True,['config/model_config_test.json'],109,MIT License
gpt-neox,EleutherAI,https://github.com/EleutherAI/gpt-neox,7348,1092,"An implementation of model parallel autoregressive transformers on GPUs, based on the Megatron and DeepSpeed libraries","['deepspeed-library', 'gpt-3', 'language-model', 'transformers']",Python,2020-12-22T14:37:54Z,2025-12-10T02:49:53Z,True,"['configs/finetuning_configs/6-9b.yml', 'configs/llama/train_config.yml', 'configs/llama/train_config.yml', 'megatron/tokenizer/train_tokenizer.py', 'megatron/tokenizer/train_tokenizer.py']",True,"['eval.py', 'tests/readme.md', 'tests/__init__.py', 'tests/common.py', 'tests/config/test_setup.yml']",87,Apache License 2.0
BERT-pytorch,codertimo,https://github.com/codertimo/BERT-pytorch,6505,1329,Google AI 2018 BERT pytorch implementation,"['bert', 'language-model', 'nlp', 'pytorch', 'transformer']",Python,2018-10-15T12:58:15Z,2025-12-10T02:25:35Z,True,"['bert/pretrain/__init__.py', 'bert/pretrain/dataset.py', 'bert/pretrain/feature.py', 'bert/pretrain/utils.py', 'scripts/create_pretraining_dataset.py']",True,"['tests/__init__.py', 'tests/test_model.py', 'tests/test_sample.py']",68,Apache License 2.0
ProPainter,sczhou,https://github.com/sczhou/ProPainter,6401,754,[ICCV 2023] ProPainter: Improving Propagation and Transformer for Video Inpainting,"['object-removal', 'video-completion', 'video-inpainting', 'video-outpainting', 'watermark-removal']",Python,2023-09-01T13:11:57Z,2025-12-10T04:30:20Z,True,"['configs/train_flowcomp.json', 'configs/train_flowcomp.json', 'configs/train_propainter.json', 'configs/train_propainter.json', 'core/trainer.py']",True,"['datasets/davis/test.json', 'datasets/youtube-vos/test.json', 'scripts/evaluate_flow_completion.py', 'scripts/evaluate_propainter.py', 'web-demos/hugging_face/test_sample/test-sample0.mp4']",73,Other
x-transformers,lucidrains,https://github.com/lucidrains/x-transformers,5710,497,A concise but complete full-attention transformer with a set of promising experimental features from various papers,"['artificial-intelligence', 'attention-mechanism', 'deep-learning', 'transformers']",Python,2020-10-24T22:13:25Z,2025-12-08T08:19:07Z,True,"['train_belief_state.py', 'train_belief_state.py', 'train_copy.py', 'train_copy.py', 'train_entropy_tokenizer.py']",True,"['.github/workflows/python-test.yaml', 'tests/test_x_transformers.py']",71,MIT License
Sana,NVlabs,https://github.com/NVlabs/Sana,4781,313,SANA: Efficient High-Resolution Image Synthesis with Linear Diffusion Transformer,"['diffusion', 'dit', 'pytorch', 'sana', 'text-to-image-generation', 'transformers']",Python,2024-10-11T20:19:45Z,2025-12-10T04:06:25Z,True,"['asset/samples/longsana_train.txt', 'diffusion/longsana/pipeline/sana_switch_training_pipeline.py', 'diffusion/longsana/pipeline/sana_switch_training_pipeline.py', 'diffusion/longsana/pipeline/sana_training_pipeline.py', 'diffusion/longsana/pipeline/sana_training_pipeline.py']",True,"['scripts/inference_geneval.py', 'scripts/inference_sana_sprint_geneval.py', 'tests/bash/entry.sh', 'tests/bash/inference/test_inference.sh', 'tests/bash/setup_test_data.sh']",92,Apache License 2.0
transformerlab-app,transformerlab,https://github.com/transformerlab/transformerlab-app,4581,465,"Open Source Application for Advanced LLM + Diffusion Engineering: interact, train, fine-tune, and evaluate large language models on your own computer.","['diffusion', 'diffusion-models', 'electron', 'llama', 'llms', 'lora', 'mlx', 'rlhf', 'stability-diffusion', 'transformers']",Python,2023-12-24T22:09:14Z,2025-12-09T23:54:28Z,True,"['api/scripts/xml-rpc-client-example/train_example.py', 'api/scripts/xml-rpc-client-example/train_example.py', 'api/scripts/xml-rpc-client-example/training_client_example.py', 'api/scripts/xml-rpc-client-example/training_client_example.py', 'api/test/api/test_train.py']",True,"['.github/workflows/pytest-sdk.yml', '.github/workflows/pytest-server-test-macos.yml', '.github/workflows/pytest-server-test.yml', '.github/workflows/pytest.yml', '.github/workflows/test.yml']",68,GNU Affero General Public License v3.0
RT-DETR,lyuwenyu,https://github.com/lyuwenyu/RT-DETR,4557,534,"[CVPR 2024] Official RT-DETR (RTDETR paddle pytorch), Real-Time DEtection TRansformer, DETRs Beat YOLOs on Real-time Object Detection. 🔥 🔥 🔥 ","['rtdetr', 'rtdetrv2']",Python,2023-05-10T06:35:56Z,2025-12-10T03:19:05Z,True,"['rtdetr_paddle/ppdet/engine/trainer.py', 'rtdetr_paddle/tools/train.py', 'rtdetr_paddle/tools/train.py', 'rtdetr_pytorch/tools/train.py', 'rtdetr_pytorch/tools/train.py']",True,"['rtdetr_paddle/ppdet/modeling/transformers/ext_op/test_ms_deformable_attn_op.py', 'rtdetr_paddle/tools/eval.py', 'rtdetr_pytorch/src/data/coco/coco_eval.py', 'rtdetr_pytorch/src/nn/backbone/test_resnet.py', 'rtdetrv2_pytorch/src/data/dataset/coco_eval.py']",402,Apache License 2.0
Efficient-AI-Backbones,huawei-noah,https://github.com/huawei-noah/Efficient-AI-Backbones,4353,735,"Efficient AI Backbones including GhostNet, TNT and MLP, developed by Huawei Noah's Ark Lab.","['convolutional-neural-networks', 'efficient-inference', 'ghostnet', 'imagenet', 'model-compression', 'pretrained-models', 'pytorch', 'tensorflow', 'transformer', 'vision-transformer']",Python,2019-11-16T14:21:35Z,2025-12-09T15:26:57Z,True,"['augvit_pytorch/train.py', 'augvit_pytorch/train.py', 'cmt_pytorch/train.py', 'cmt_pytorch/train.py', 'ghostnetv2_pytorch/train.py']",True,"['snnmlp_pytorch/train_scripts/test.sh', 'tinynet_pytorch/eval.py']",94,Unknown
transformer,hyunwoongko,https://github.com/hyunwoongko/transformer,4308,612,"Transformer: PyTorch Implementation of ""Attention Is All You Need""","['attention', 'dataset', 'pytorch', 'transformer']",Python,2019-10-15T10:36:00Z,2025-12-09T16:18:58Z,True,"['saved/transformer-base/train.txt', 'saved/transformer-base/train_result.jpg', 'saved/transformer-base/train_result.jpg', 'train.py', 'train.py']",True,['saved/transformer-base/test.txt'],18,Unknown
transformer-xl,kimiyoung,https://github.com/kimiyoung/transformer-xl,3680,765,,[],Python,2019-01-08T12:20:24Z,2025-11-27T05:58:07Z,True,"['pytorch/train.py', 'pytorch/train.py', 'tf/train.py', 'tf/train.py', 'tf/train_gpu.py']",True,['pytorch/eval.py'],97,Apache License 2.0
HRNet-Semantic-Segmentation,HRNet,https://github.com/HRNet/HRNet-Semantic-Segmentation,3305,697,The OCR approach is rephrased as Segmentation Transformer: https://arxiv.org/abs/1909.11065. This is an official implementation of semantic segmentation for HRNet. https://arxiv.org/abs/1908.07919,"['cityscapes', 'high-resolution', 'high-resolution-net', 'hrnets', 'lip', 'pascal-context', 'segmentation', 'segmentation-transformer', 'semantic-segmentation', 'transformer']",Python,2019-04-09T13:24:09Z,2025-12-08T14:11:52Z,True,"['data/list/cityscapes/train.lst', 'data/list/cityscapes/trainval.lst', 'data/list/lip/trainlist.txt', 'experiments/cityscapes/seg_hrnet_w48_train_512x1024_sgd_lr1e-2_wd5e-4_bs_12_epoch484.yaml', 'experiments/cityscapes/seg_hrnet_w48_train_512x1024_sgd_lr1e-2_wd5e-4_bs_12_epoch484.yaml']",True,"['data/list/cityscapes/test.lst', 'data/list/lip/testvallist.txt', 'tools/test.py']",163,Other
SwanLab,SwanHubX,https://github.com/SwanHubX/SwanLab,3230,176,"⚡️SwanLab - an open-source, modern-design AI training tracking and visualization tool. Supports Cloud / Self-hosted use. Integrated with PyTorch / Transformers / LLaMA Factory / veRL/ Swift / Ultralytics / MMEngine / Keras etc.","['data-science', 'deep-learning', 'logging', 'machine-learning', 'mlops', 'model-versioning', 'python', 'pytorch', 'tensorboard', 'tensorflow', 'tracking', 'transformers', 'visualization']",Python,2023-11-24T08:54:45Z,2025-12-10T01:38:33Z,True,"['test/integration/accelerate/accelerate_train.py', 'test/integration/accelerate/accelerate_train.py', 'test/integration/fastai/fastai_train.py', 'test/integration/fastai/fastai_train.py', 'test/integration/keras/keras_train.py']",True,"['.github/workflows/test-core.yml', '.github/workflows/test-when-pr.yml', 'core/internal/api/parse_test.go', 'test/config/config.json', 'test/config/load.yaml']",52,Apache License 2.0
SegFormer,NVlabs,https://github.com/NVlabs/SegFormer,3228,412,Official PyTorch implementation of SegFormer,"['ade20k', 'cityscapes', 'semantic-segmentation', 'transformer']",Python,2021-06-11T17:22:07Z,2025-12-10T02:08:37Z,True,"['docs/train.md', 'docs/tutorials/training_tricks.md', 'docs/tutorials/training_tricks.md', 'mmseg/apis/train.py', 'mmseg/apis/train.py']",True,"['mmseg/apis/test.py', 'mmseg/datasets/pipelines/test_time_aug.py', 'pytest.ini', 'requirements/tests.txt', 'tests/test_config.py']",109,Other
Mask2Former,facebookresearch,https://github.com/facebookresearch/Mask2Former,3133,483,"Code release for ""Masked-attention Mask Transformer for Universal Image Segmentation""",[],Python,2021-11-24T16:00:44Z,2025-12-10T02:20:30Z,True,"['tools/convert-pretrained-swin-model-to-d2.py', 'train_net.py', 'train_net.py', 'train_net_video.py', 'train_net_video.py']",True,"['mask2former/modeling/pixel_decoder/ops/test.py', 'mask2former/test_time_augmentation.py', 'mask2former_video/data_video/datasets/ytvis_api/ytvoseval.py', 'mask2former_video/data_video/ytvis_eval.py', 'tools/evaluate_coco_boundary_ap.py']",164,MIT License
yolov7_d2,lucasjinreal,https://github.com/lucasjinreal/yolov7_d2,3124,476,"🔥🔥🔥🔥 (Earlier YOLOv7 not official one) YOLO with Transformers and Instance Segmentation, with TensorRT acceleration! 🔥🔥🔥","['detection', 'detextron2', 'detr', 'face', 'instance-segmentation', 'object-detection', 'onnx', 'tensorrt', 'transformers', 'yolo', 'yolov6', 'yolov7', 'yolox']",Python,2021-06-23T11:35:35Z,2025-12-10T00:54:53Z,True,"['configs/common/train.py', 'configs/common/train.py', 'tools/lazyconfig_train_net.py', 'tools/lazyconfig_train_net.py', 'tools/train_detr.py']",True,"['deploy/quant_fx/fx_ptq_test.py', 'deploy/quant_fx/qt_mq_test.py', 'deploy/quant_fx/qt_q_test.py', 'deploy/quant_fx/quant_ptq_test.py', 'deploy/quant_fx/test.py']",69,GNU General Public License v3.0
TransUNet,Beckschen,https://github.com/Beckschen/TransUNet,3020,567,"This repository includes the official project of TransUNet, presented in our paper: TransUNet: Transformers Make Strong Encoders for Medical Image Segmentation.",[],Python,2021-02-08T06:12:54Z,2025-12-09T15:00:44Z,True,"['lists/lists_synapse/train.txt', 'train.py', 'train.py', 'trainer.py']",True,"['lists/lists_synapse/test_vol.txt', 'test.py']",137,Apache License 2.0
table-transformer,microsoft,https://github.com/microsoft/table-transformer,2798,304,Table Transformer (TATR) is a deep learning model for extracting tables from unstructured documents (PDFs and images). This is also the official repository for the PubTables-1M dataset and GriTS evaluation metric.,"['table-detection', 'table-extraction', 'table-functional-analysis', 'table-structure-recognition']",Python,2021-05-17T19:01:34Z,2025-12-10T02:18:20Z,True,"['detr/d2/train_net.py', 'detr/d2/train_net.py']",True,"['detr/datasets/coco_eval.py', 'detr/datasets/panoptic_eval.py', 'detr/test_all.py', 'src/eval.py']",106,MIT License
decision-transformer,kzl,https://github.com/kzl/decision-transformer,2718,504,Official codebase for Decision Transformer: Reinforcement Learning via Sequence Modeling.,[],Python,2021-06-02T09:35:37Z,2025-12-09T16:52:43Z,True,"['atari/mingpt/trainer_atari.py', 'gym/decision_transformer/training/act_trainer.py', 'gym/decision_transformer/training/seq_trainer.py', 'gym/decision_transformer/training/trainer.py']",True,['gym/decision_transformer/evaluation/evaluate_episodes.py'],37,MIT License
mPLUG-Owl,X-PLUG,https://github.com/X-PLUG/mPLUG-Owl,2536,191,mPLUG-Owl: The Powerful Multi-modal Large Language Model  Family,"['alpaca', 'chatbot', 'chatgpt', 'damo', 'dialogue', 'gpt', 'gpt4', 'gpt4-api', 'huggingface', 'instruction-tuning', 'large-language-models', 'llama', 'mplug', 'mplug-owl', 'multimodal', 'pretraining', 'pytorch', 'transformer', 'video', 'visual-recognition']",Python,2023-04-25T02:31:04Z,2025-12-10T03:32:31Z,True,"['mplug-owl/pipeline/train.py', 'mplug-owl/pipeline/train.py', 'mplug-owl/scripts/train_it.sh', 'mplug-owl/scripts/train_it.sh', 'mplug-owl/scripts/train_it_wo_lora.sh']",True,"['mplug-owl2/mplug_owl2/evaluate/evaluate_caption.py', 'mplug-owl2/mplug_owl2/evaluate/evaluate_mmbench.py', 'mplug-owl2/mplug_owl2/evaluate/evaluate_mme.py', 'mplug-owl2/mplug_owl2/evaluate/evaluate_mmmu.py', 'mplug-owl2/mplug_owl2/evaluate/evaluate_vqa.py']",100,MIT License
EasyLM,young-geng,https://github.com/young-geng/EasyLM,2502,258,"Large language models (LLMs) made easy, EasyLM is a one stop solution for pre-training, finetuning, evaluating and serving LLMs in JAX/Flax.","['chatbot', 'deep-learning', 'flax', 'jax', 'language-model', 'large-language-models', 'llama', 'natural-language-processing', 'transformer']",Python,2022-11-22T12:55:20Z,2025-11-30T01:17:20Z,True,"['easylm/models/llama/llama_train.py', 'easylm/models/llama/llama_train.py', 'examples/pretrain_llama_7b.sh', 'examples/pretrain_llama_7b.sh']",True,['easylm/scripts/benchmark_attention.py'],31,Apache License 2.0
DialoGPT,microsoft,https://github.com/microsoft/DialoGPT,2411,350,Large-scale pretraining for dialogue,"['data-processing', 'dialogpt', 'dialogue', 'gpt-2', 'machine-learning', 'pytorch', 'text-data', 'text-generation', 'transformer']",Python,2019-08-29T21:07:46Z,2025-11-25T19:28:18Z,True,"['lsp_train.py', 'lsp_train.py', 'data/train_raw.tsv', 'data/train_raw.tsv', 'gpt2_training/distributed.py']",True,"['dstc/batch_eval.py', 'dstc/data/processed/test_real.keys.txt', 'pycocoevalcap/eval.py', 'reddit_extractor/data/keys-test.gz', 'reddit_extractor/data/test-multi-refs-ids.txt']",64,MIT License
llm-compressor,vllm-project,https://github.com/vllm-project/llm-compressor,2367,312,Transformers-compatible library for applying various compression algorithms to LLMs for optimized deployment with vLLM,"['compression', 'quantization', 'sparsity']",Python,2024-06-20T20:13:34Z,2025-12-10T04:48:23Z,True,"['examples/finetuning/configure_fsdp.md', 'examples/finetuning/example_alternating_recipe.yaml', 'examples/finetuning/example_fsdp_config.yaml', 'examples/finetuning/example_single_gpu_config.yaml']",True,"['.github/workflows/test-check-transformers.yaml', '.github/workflows/test-check.yaml', 'tests/__init__.py', 'tests/e2e/__init__.py', 'tests/e2e/e2e_utils.py']",120,Apache License 2.0
Swin-Unet,HuCaoFighting,https://github.com/HuCaoFighting/Swin-Unet,2251,356,"[ECCVW 2022] The codes for the work ""Swin-Unet: Unet-like Pure Transformer for Medical Image Segmentation""",[],Python,2021-05-03T07:37:40Z,2025-12-10T02:49:26Z,True,"['lists/lists_synapse/train.txt', 'train.py', 'train.py', 'train.sh', 'trainer.py']",True,"['lists/lists_synapse/test_vol.txt', 'test.py', 'test.sh']",88,Unknown
EasyAnimate,aigc-apps,https://github.com/aigc-apps/EasyAnimate,2239,178,📺 An End-to-End Solution for High-Resolution and Long Video Generation Based on Transformer Diffusion,[],Python,2024-04-11T08:52:50Z,2025-12-08T06:21:23Z,True,"['easyanimate/reward/mps/trainer/models/base_model.py', 'easyanimate/reward/mps/trainer/models/clip_model.py', 'easyanimate/reward/mps/trainer/models/cross_modeling.py', 'easyanimate/video_caption/filter_meta_train.py', 'easyanimate/video_caption/filter_meta_train.py']",True,['easyanimate/vae/ldm/modules/image_degradation/utils/test.png'],96,Apache License 2.0
longformer,allenai,https://github.com/allenai/longformer,2176,288,Longformer: The Long-Document Transformer,[],Python,2020-03-31T21:07:29Z,2025-12-08T13:51:15Z,True,"['scripts/pretrain.py', 'scripts/pretrain.py']",True,"['scripts/test_tpu.py', 'tests/test_integration.py', 'tests/test_readme.py', 'tests/test_sliding_chunks.py', 'tests/test_var_global_attn.py']",139,Apache License 2.0
intel-extension-for-transformers,intel,https://github.com/intel/intel-extension-for-transformers,2169,216,⚡ Build your chatbot within minutes on your favorite device; offer SOTA compression techniques for LLMs; run LLMs efficiently on Intel Platforms⚡,"['4-bits', 'autoround', 'chatbot', 'chatpdf', 'gaudi3', 'habana', 'intel-optimized-llamacpp', 'large-language-model', 'llm-cpu', 'llm-inference', 'neural-chat', 'neural-chat-7b', 'rag', 'retrieval', 'speculative-decoding', 'streamingllm']",Python,2022-11-11T05:32:27Z,2025-12-02T02:53:29Z,True,"['.github/workflows/chatbot-finetune-mpt-7b-chat-hpu.yml', '.github/workflows/chatbot-finetune-mpt-7b-chat.yml', '.github/workflows/chatbot_finetuning.yml', 'docs/api_doc/optimization/trainer.rst', 'docs/tutorials/pytorch/question-answering/bert-large-uncased-whole-word-masking-finetuned-squad.ipynb']",True,"['.github/workflows/chatbot-test.yml', '.github/workflows/deploy-test.yml', '.github/workflows/docker/unittest.dockerfile', '.github/workflows/llm-test.yml', '.github/workflows/optimize-test.yml']",56,Apache License 2.0
MambaVision,NVlabs,https://github.com/NVlabs/MambaVision,1933,113,[CVPR 2025] Official PyTorch Implementation of MambaVision: A Hybrid Mamba-Transformer Vision Backbone,"['deep-learning', 'foundation-models', 'huggingface-transformers', 'hybrid-models', 'image-classification', 'instance-segmentation', 'mamba', 'object-detection', 'self-attention', 'semantic-segmentation', 'transformers', 'vision-transformer', 'visual-recognition']",Python,2024-06-10T17:46:08Z,2025-12-10T04:07:27Z,True,"['mambavision/train.py', 'mambavision/train.py', 'mambavision/train.sh', 'object_detection/tools/train.py', 'object_detection/tools/train.py']",True,"['mambavision/dummy_test.py', 'object_detection/tools/analysis_tools/robustness_eval.py', 'object_detection/tools/analysis_tools/test_robustness.py', 'object_detection/tools/deployment/test_torchserver.py', 'object_detection/tools/misc/gen_coco_panoptic_test_info.py']",25,Other
BitNet,kyegomez,https://github.com/kyegomez/BitNet,1894,169,"Implementation of ""BitNet: Scaling 1-bit Transformers for Large Language Models"" in pytorch","['artificial-intelligence', 'deep-neural-networks', 'deeplearning', 'gpt4', 'machine-learning', 'multimodal', 'multimodal-deep-learning']",Python,2023-10-18T16:19:06Z,2025-12-08T16:44:42Z,True,"['train.py', 'train.py']",True,"['.github/workflows/docs_test.yml', '.github/workflows/run_test.yml', '.github/workflows/test.yml', '.github/workflows/testing.yml', '.github/workflows/unit-test.yml']",5,MIT License
